Condition,Doctor
Hypertension,Cardiology
Diabetes Type 2,Endocrinology
Arthritis,Rheumatology
Asthma,Pulmonology
Coronary Artery Disease,Cardiology
Migraine,Neurology
Depression,Psychiatry
Osteoporosis,Orthopedics
Chronic Kidney Disease,Nephrology
Thyroid Disorder,Endocrinology
Obesity,Endocrinology
Rheumatoid Arthritis,Rheumatology
COPD,Pulmonology
Heart Failure,Cardiology
Epilepsy,Neurology
Anxiety Disorder,Psychiatry
Fractured Bones,Orthopedics
Acute Kidney Injury,Nephrology
Type 1 Diabetes,Endocrinology
Osteoarthritis,Rheumatology
Lung Cancer,Oncology
Migraine,Neurology
Bipolar Disorder,Psychiatry
Spinal Cord Injury,Neurology
Celiac Disease,Gastroenterology
Chronic Obstructive Lung Disease,Pulmonology
Congestive Heart Failure,Cardiology
Osteoporosis,Orthopedics
Chronic Kidney Disease,Nephrology
Thyroid Cancer,Endocrinology
Psoriasis,Dermatology
Alzheimer's Disease,Neurology
Bipolar Disorder,Psychiatry
Rheumatoid Arthritis,Rheumatology
COPD,Pulmonology
Heart Failure,Cardiology
Epilepsy,Neurology
Anxiety Disorder,Psychiatry
Fractured Bones,Orthopedics
Acute Kidney Injury,Nephrology
Type 1 Diabetes,Endocrinology
Osteoarthritis,Rheumatology
Lung Cancer,Oncology
Migraine,Neurology
Bipolar Disorder,Psychiatry
Spinal Cord Injury,Neurology
Celiac Disease,Gastroenterology
Chronic Obstructive Lung Disease,Pulmonology
Congestive Heart Failure,Cardiology
Pancreatitis,Gastroenterology
Ovarian Cancer,Oncology
Multiple Sclerosis,Neurology
Schizophrenia,Psychiatry
ACL Tear,Orthopedics
Chronic Kidney Disease,Nephrology
Hashimoto's Thyroiditis,Endocrinology
Inflammatory Bowel Disease,Gastroenterology
Parkinson's Disease,Neurology
Major Depressive Disorder,Psychiatry
Rheumatoid Arthritis,Rheumatology
COPD,Pulmonology
Heart Failure,Cardiology
Epilepsy,Neurology
Anxiety Disorder,Psychiatry
Fractured Bones,Orthopedics
Acute Kidney Injury,Nephrology
Type 1 Diabetes,Endocrinology
Osteoarthritis,Rheumatology
Lung Cancer,Oncology
Migraine,Neurology
Bipolar Disorder,Psychiatry
Spinal Cord Injury,Neurology
Celiac Disease,Gastroenterology
Chronic Obstructive Lung Disease,Pulmonology
Congestive Heart Failure,Cardiology
Pancreatitis,Gastroenterology
Ovarian Cancer,Oncology
Multiple Sclerosis,Neurology
Schizophrenia,Psychiatry
ACL Tear,Orthopedics
Chronic Kidney Disease,Nephrology
Hashimoto's Thyroiditis,Endocrinology
Inflammatory Bowel Disease,Gastroenterology
Parkinson's Disease,Neurology
Major Depressive Disorder,Psychiatry
Abscess,Dermatology
Acne,Dermatology
Addison's Disease,Endocrinology
Agoraphobia,Psychiatry
Anemia,Hematology
Aneurysm,Cardiology
Ankylosing Spondylitis,Rheumatology
Anxiety Disorder,Psychiatry
Arthritis,Rheumatology
Asthma,Pulmonology
Atrial Fibrillation,Cardiology
Autism Spectrum Disorder,Neurology
Bipolar Disorder,Psychiatry
Bronchitis,Pulmonology
Cancer,Oncology
Carpal Tunnel Syndrome,Orthopedics
Celiac Disease,Gastroenterology
Cerebral Palsy,Neurology
Cleft Lip and Palate,Plastic Surgery
Chronic Kidney Disease,Nephrology
Chronic Obstructive Pulmonary Disease,Pulmonology
Cirrhosis,Gastroenterology
Colitis,Gastroenterology
Congestive Heart Failure,Cardiology
Conjunctivitis,Ophthalmology
Constipation,Gastroenterology
Crohn's Disease,Gastroenterology
Cystic Fibrosis,Pulmonary Medicine
Depression,Psychiatry
Diabetes,Endocrinology
Eczema,Dermatology
Epilepsy,Neurology
Fibromyalgia,Rheumatology
Glaucoma,Ophthalmology
Gout,Rheumatology
Headache,Neurology
Heart Failure,Cardiology
Hepatitis,Gastroenterology
Herpes,Dermatology
Hives,Dermatology
Hypertension,Cardiology
Hyperthyroidism,Endocrinology
Hypothyroidism,Endocrinology
Influenza,Infectious Disease
Insomnia,Psychiatry
Irritable Bowel Syndrome,Gastroenterology
Knee Pain,Orthopedics
Lupus,Rheumatology
Lyme Disease,Infectious Disease
Melanoma,Oncology
Migraine,Neurology
Multiple Myeloma,Hematology/Oncology
Multiple Sclerosis,Neurology
Muscular Dystrophy,Neurology
Obesity,Endocrinology
Obsessive-Compulsive Disorder,Psychiatry
Osteoarthritis,Rheumatology
Osteoporosis,Orthopedics
Ovarian Cancer,Oncology
Parkinson's Disease,Neurology
Pneumonia,Pulmonology
Prostate Cancer,Urology
Psoriasis,Dermatology
Rheumatoid Arthritis,Rheumatology
Sciatica,Orthopedics
Sickle Cell Disease,Hematology
Sinusitis,Pulmonology
Skin Cancer,Dermatology
Sleep Apnea,Pulmonary Medicine
Spinal Cord Injury,Neurology
Stroke,Neurology
Tuberculosis,Infectious Disease
Ulcerative Colitis,Gastroenterology
Urinary Tract Infection,Urology
Urticaria,Dermatology
West Nile Virus,Infectious Disease
Achilles Tendonitis,Orthopedics
Adrenal Insufficiency,Endocrinology
Allergic Rhinitis,Allergy and Immunology
Amyotrophic Lateral Sclerosis (ALS),Neurology
Anemia,Hematology
Angina,Cardiology
Anorexia Nervosa,Psychiatry
Anxiety Disorder,Psychiatry
Aortic Stenosis,Cardiology
Appendicitis,Surgery
Arrhythmia,Cardiology
Arthritis,Rheumatology
Asthma,Pulmonology
Autism Spectrum Disorder,Neurology
Behçet's Disease,Rheumatology
Bladder Cancer,Urology
Bone Cancer,Oncology
Bronchitis,Pulmonology
Bursitis,Orthopedics
Carpal Tunnel Syndrome,Orthopedics
Celiac Disease,Gastroenterology
Cerebral Palsy,Neurology
Charcot-Marie-Tooth Disease,Neurology
Cleft Lip and Palate,Plastic Surgery
Chronic Kidney Disease,Nephrology
Chronic Obstructive Pulmonary Disease (COPD),Pulmonology
Cirrhosis,Gastroenterology
Colitis,Gastroenteriology
Congenital Heart Disease,Cardiology
Conjunctivitis,Ophthalmology
Constipation,Gastroenterology
Crohn's Disease,Gastroenterology
Cystic Fibrosis,Pulmonary Medicine
Depression,Psychiatry
Diabetes,Endocrinology
Eczema,Dermatology
Epilepsy,Neurology
Erectile Dysfunction,Urology
Fibromyalgia,Rheumatology
Glaucoma,Ophthalmology
Gout,Rheumatology
Graves' Disease,Endocrinology
Headache,Neurology
Heart Failure,Cardiology
Hepatitis,Gastroenterology
Herpes,Dermatology
Hives,Dermatology
Hypertension,Cardiology
Hyperthyroidism,Endocrinology
Hypothyroidism,Endocrinology
Influenza,Infectious Disease
Insomnia,Psychiatry
Irritable Bowel Syndrome (IBS),Gastroenterology
Knee Pain,Orthopedics
Lupus,Rheumatology
Lyme Disease,Infectious Disease
Macular Degeneration,Ophthalmology
Malaria,Infectious Disease
Melanoma,Oncology
Migraine,Neurology
Multiple Myeloma,Hematology/Oncology
Multiple Sclerosis,Neurology
Muscular Dystrophy,Neurology
Obesity,Endocrinology
Obsessive-Compulsive Disorder (OCD),Psychiatry
Osteoarthritis,Rheumatology
Osteoporosis,Orthopedics
Ovarian Cancer,Oncology
Pancreatitis,Gastroenterology
Parkinson's Disease,Neurology
Pneumonia,Pulmonology
Prostate Cancer,Urology
Psoriasis,Dermatology
Pulmonary Embolism,Pulmonology
Rheumatoid Arthritis,Rheumatology
Sciatica,Orthopedics
Sickle Cell Disease,Hematology
Sinusitis,Pulmonology
Skin Cancer,Dermatology
Sleep Apnea,Pulmonary Medicine
Spinal Cord Injury,Neurology
Stroke,Neurology
Tuberculosis (TB),Infectious Disease
Ulcerative Colitis,Gastroenterology
Urinary Tract Infection (UTI),Urology
Urticaria (Hives),Dermatology
West Nile Virus,Infectious Disease
Acid Reflux  Gastroenterology 
 Acne Rosacea  Dermatology 
 Actinomycosis  Infectious Disease 
 Addison's Disease  Endocrinology 
 Agoraphobia  Psychiatry 
 Airway Hyperresponsiveness  Pulmonary Medicine 
 Alcoholic Hepatitis  Gastroenterology 
 Alzheimer's Disease  Neurology 
 Amyloidosis  Nephrology 
 Ankylosing Spondylitis  Rheumatology 
 Anthrax  Infectious Disease 
 Antiphospholipid Syndrome  Rheumatology 
 Anxiety Disorder  Psychiatry 
 Apnea  Pulmonary Medicine 
